ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Nama Usaha dan/atau Nama Kegiatan,Jenis Usaha dan/atau Kegiatan,Alamat Usaha dan/atau Kegiatan,Kabupaten/Kota,NAMA DAS  :,BAGIAN DAS :,LOKASI PEMANTAUAN ,Nama Penanggung Jawab Bidang Lingkungan,Nomor Telepon Penanggungjawab Bidang Lingkungan,Email,Jenis B3 yang dipergunakan :,Kategori Bahaya B3 yang digunakan :,Sumber Limbah B3 :,Other - Sumber Limbah B3 :,Jenis Timbulan Limbah B3 Non Spesifik :,Jenis Timbulan Limbah B3 Spesifik Khusus :,Sebutkan jenis kegiatan yang berpotensi menimbulkan limbah B3 spesifik umum : ,Kode Kegiatan 301 Pupuk dan Bahan Senyawa Nitrogen :,Kode Kegiatan 303 Pestisida dan produk agrokimia :,Kode Kegiatan 304	Resin adesif Fenol formaldehida (PF) :,Jumlah limbah B3 yang dikelola :,Berapa jumlah TPS Limbah B3 yang dimiliki oleh perusahaan :,Apakah perusahaan telah bekerjasama dengan Pihak Ketiga dalam pengelolaan lanjutan Limbah B3? ,Pihak III Pengumpul LB3 :,Nomor Izin Pengumpulan Limbah B3 : ,Pihak III Pemanfaat LB3 : ,Nomor Izin Pemanfaatan Limbah B3 : ,Pihak III Pengolah LB3 : ,Nomor Izin Pengolahan Limbah B3 : ,Pihak III Penimbun LB3 :  ,Nomor Izin Penimbunan Limbah B3 : ,Sebutkan nama Perusahaan Pengangkut LB3 :  ,Sebutkan Nama perusahaan yang ditunjuk sebagai Pengangkut Limbah B3 :,Nomor Izin Pengangkutan Limbah B3 :,Tanggal Pemantauan :,Jumlah B3 yang digunakan :,Kode Kegiatan 305    Polimer Kegiatan Produksi,Kode Kegiatan 306    Petrokimia Industri yang menghasilkan produk organik,Kode Kegiatan 307   Kilang Minyak dan Gas Bumi,Kode Kegiatan 308   Pengawetan Kayu,Kode Kegiatan 309   Peleburan Besi dan Baja,Kode Kegiatan 310   Operasi Penyempurnaan Baja,Kode Kagiatan 311   Peleburan Timah Hitam (Pb),Kode Kegiatan 312   Peleburan dan Pemurnian Tembaga (Cu),Kode Kegiatan 313   Peleburan Aluminium dan Pelapisan Aluminium,Kode Kegiatan 314   Peleburan dan Penyempurnaan Seng (Zinc),Kode Kegiatan 315   Peleburan Nikel (Ni),Kode Kegiatan 316   Thermal Metallurgi emas dan Perak,Kode Kegiatan 317   Proses Logam Non Ferro,Kode Kegiatan 318   Industri Peleburan Aki Bekas,Kode Kegiatan 319   Industri Peleburan Timah Putih (Sn),Kode Kegiatan 320   Industri Peleburan Mangan (Mn),Kode Kegiatan 321   Tinta dan Kegiatan yang menggunakan Tinta,Kode Kegiatan 322   Tekstil mencakup Kegiatan Pemutihan dan Pencelupan,"Kode Kegiatan 323   Manufaktur, Perakitan dan Pemeliharaan Kendaraan dan Mesin",Kode Kegiatan 324   Elektroplating dan galvanis,Kode Kegiatan 325   Cat mencakup Kegiatan Varnish dan Pelapisan dengan Bahan Lainnya,Kode Kegiatan 326   Baterai sel kering dan Pemanfaatan Baterai Bekas,Kode Kegiatan 327      Baterai sel basah,Kode Kegiatan 328   Perakitan Komponen elektronik atau Peralatan elektronik,Kode Kegiatan 329   Rekondisi atau Remanufacturing Barang elektronik,"Kode Kegiatan 330   Eksplorasi dan produksi minyak, gas, dan pans bumi",Kode Kegiatan 331 Pertambangan ,Kode Kegiatan 332   Semua Jenis Industri yang Menghasilkan atau Menggunakan Listrik,Kode Kegiatan 333   Pembangkit Listrik Tenaga Uap atau Industri yang menggunakan Batu Bara,Kode Kegiatan 334   Penyamakan Kulit,Kode Kegaiatan 335   Zat Warna dan Pigmen,Kode Kegiatan 336 Farmasi,Kode Kegiatan 337   Rumah Sakit dan Fasilitas Pelayanan Kesehatan,Kode Kegiatan 338   Laboratorium Riset dan Komersial termasuk Industri yang memiliki Laboratorium,Kode Kegiatan 339   Fotografi,Kode Kegiatan 340   Daur Ulang Minyak Pelumas Bekas ,"Kode Kegiatan 341 Sabun deterjen, produk pembersih, desinfektan, atau kosmetik",Kode Kegiatan 342 Pengolahan minyak hewani atau nabati,Kode Kegiatan 343 Pengolahan oleokimia dasar ,Kode Kegiatan 344 Metal hardening,Kode Kegiatan 345 Metal dan plastic shaping,Kode Kegiatan 346 Laundry dan dry cleaning,Kode Kegiatan 347 Pengoperasian insinerator Limbah,Kode Kegiatan 348 Daur ulang pelarut bekas,Kode Kegiatan 349 Filter dan absorben bekas,"Kode Kegiatan 350 Seal, Gasket, dan Packing",Kode Kegiatan 351 Pulp dan kertas,Kode Kegiatan 352 Chemical atau industial cleaning,Kode Kegiatan 353 Fotokopi,Kode Kegiatan 354 Semua jenis industri konstruksi,Kode Kegiatan 355 Bengkel pemeliharaan kendaraan,Kode Kegiatan 356 Gas industri,Kategori Bahaya LB3 yang dihasilkan:,KECAMATAN,DESA  ,Other - DESA  ,LATITUDE :,LONGITUDE :,1. Temperature/C :,2. Total Dissolved Solid (mg/L),3. Total Suspended Solid (mg/L),4. Color** (Pt-Co),5. pH (pH),6. Chemical Oxygen Demand (mg/L),7. Biochemical Oxygen Demand (mg/L),8. Dissloved Oxygen (mg/L),9. Sulphate (mg/L),10. Chloride (mg/L),11. Nitrate (mg/L),12. Nitrite (mg/L),13. Ammonia (mg/L),14. Total Nitrogen** (mg/L),15. Total Phosephate (mg/L),16. Fluoride (mg/L),17. Sulfide (mg/L),18. Cyanide (mg/L),19. Free CI2 ,20 Dissloved Boron (mg/L),21. Dissloved Mercury (mg/L),22. Dissloved Arsen (mg/L),23. Dissloved Selenium (mg/L),24. Dissloved Cadmium (mg/L),25. Dissloved Cobalt (mg/L),26. Dissloved Nickel (mg/L),27. Dissloved Zinc (mg/L),28. Dissloved Copper (mg/L),29. Dissloved Lead (mg/L),30. Hexavalent Chromium (mg/L),31. Oil&Grease (mg/L),32. Total Sufractant (mg/L),33. Phenol (mg/L),34. Fecal Coliform (MPN/100 ML),35. Total Coliform (MPN/100 ML),Tahun Pemantauan,Semester ,x,y
14,737a4415-509e-419c-835b-9381263fbf2b,8/1/2024 3:22:38 AM,,8/1/2024 3:22:38 AM,,,,,,WELANG,Hilir,Bagian hilir Desa pulukerto Kec. Kraton,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRATON,PULOKERTO,,-7.61184166,112.8677,28.3,295.4,21,48,7.65,3,0.83,5,32,38,5,0.013,0.125,5,0.013,0.24,0.143,0.004,0.03,0.0112,0.0006,0.005,0.007,0.005,0.018,0.007,0.011,0.0068,0.0049,0.018,0.849,0.0213,0.005,20,280,2024,choice_3,112.8677,-7.61184166000001
15,c0053146-f51b-44ab-8ee3-f15779982424,8/1/2024 3:52:05 AM,,8/1/2024 3:52:05 AM,,,,,,LAWEYAN,Hilir,"Bagian Hilir Jembatan Ds. Penunggul, Kec. Penunggul ",,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGULING,PENUNGGUL,,-7.707278,113.092278,27.4,343.9,3,12,8.01,4,0.42,6,30,37,2,0.047,0.00289,2,0.047,0.478,0.0011,0.002,0.02,0.005,0.0004,0.009,0.006,0.006,0.045,0.015,0.004,0.0077,0.0092,0.0051,0.406,0.0067,0.0045,150,200,2024,choice_3,113.092278,-7.70727800000002
16,c25d6dfe-63ef-415a-8978-2a11065ab999,8/1/2024 5:35:42 AM,,8/1/2024 7:10:16 AM,portaladmindlh,,,,,KEDUNGLARANGAN,Hulu,DAM Pengairan Kakek Bodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIGEN,PRIGEN,,-7.69740277,112.6263139,26.1,78.5,1,10,8.01,5,0.42,7,23,4,0.596,0.00164,0.00023,0.597,0.00164,0.149,0.0191,0.002,0.01,0.0151,0.0003,0.01,0.008,0.0085,0.014,0.007,0.009,0.007,0.0044,0.0052,0.401,0.0052,0.022,20,930,2024,choice_3,112.875868713927,-7.61243669343276
17,bc882f82-7dc0-426f-80e1-96631b00f52c,8/1/2024 5:38:07 AM,,8/1/2024 7:32:26 AM,portaladmindlh,,,,,RACI,Hulu,Raci bagian hulu jembatan daerah sukorejo kec.sukorejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/31/2025 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUKOREJO,SUKOREJO,,-7.69983888,112.7300333,28.1,158.9,2,22,8.17,6,0.83,7,32,12,3,0.125,0.00046,3,0.125,0.271,0.0181,0.002,0.01,0.0112,0.0006,0.007,0.004,0.0074,0.03,0.036,0.008,0.0075,0.0092,0.0056,0.04,0.019,0.0643,210,1200,2024,choice_3,112.730033299996,-7.69983887999976
18,16b2f1ad-32f4-4509-804e-fd48695a7bb7,8/1/2024 6:06:14 AM,,8/1/2024 7:15:51 AM,portaladmindlh,,,,,KEDUNGLARANGAN,Tengah,Jembatan Jl. Raya Bangil Barat Masjid Manarul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANGIL,GEMPENG,,-7.59915555,112.7878528,29.5,224,3,10,7.31,6,0.83,6,19,18,4,0.0946,0.00367,4,0.095,0.305,0.0002,0.002,0.01,0.0101,0.0007,0.008,0.008,0.0075,0.021,0.013,0.005,0.0074,0.0143,0.0023,0.407,0.0205,0.0005,90,420,2024,choice_3,112.787852799998,-7.59915554999988
19,c566c797-ca3e-49a6-82f7-6c1bd7ae343e,8/1/2024 6:08:44 AM,,8/1/2024 7:30:39 AM,portaladmindlh,,,,,RACI,Hilir,Raci bagian hilir DAM  pengairan raci-bangil,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANGIL,RACI,,-7.60329166,112.8265417,29.8,542,2,23,7.51,7,2.9,1,64,144,4,0.809,3,8,0.809,0.759,0.016,0.002,0.02,0.0175,0.0007,0.004,0.01,0.0075,0.013,0.01,0.008,0.0098,0.0049,0.0108,0.407,0.0148,0.0501,1800,1665,2024,choice_3,112.826541699996,-7.60329165999976
20,55a4da84-6e9d-40e9-8542-b45cc41d437f,8/1/2024 6:20:47 AM,,8/1/2024 7:16:34 AM,portaladmindlh,,,,,KEDUNGLARANGAN,Hilir,Jembatan Ds. Kalirejo-Bangil,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANGIL,choice_109,,-7.59409444,1121.7928667,27.8,241.8,6,9,7.22,4,0.83,6,20,18,5,0.243,0.00016,5,0.243,0.324,0.0074,0.003,0.02,0.0167,0.0005,0.005,0.01,0.0075,0.018,0.02,0.005,0.007,0.0232,0.0062,0.406,0.026,0.0003,40,90,2024,choice_3,112.792866699998,-7.59409443999987
21,bac41030-afae-4b29-8e1b-1ad6a1d6d4e0,8/1/2024 6:24:07 AM,,8/1/2024 7:11:32 AM,portaladmindlh,,,,,RACI,Tengah,Raci bagian tengah jembatan belakang pier,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REMBANG,REMBANG,,-7.61485,112.8206639,26.6,488.1,4,18,7.74,4,0.42,7,50,61,3,0.0162,0.00619,3,0.016,0.476,0.0085,0.002,0.02,0.009,0.0003,0.004,0.006,0.0047,0.013,0.019,0.022,0.0064,0.0196,0.0276,0.407,0.057,0.0002,15,70,2024,choice_3,112.820663899998,-7.61484999999987
22,60b0b107-9d5e-481f-8b72-bf8dd3490aea,8/1/2024 6:34:58 AM,,8/1/2024 7:17:32 AM,portaladmindlh,,,,,PETUNG,Hilir,Jembatan Karang Pandaan Kec. Rejoso ,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REJOSO,PANDAAN,,-7.67872777,112.9169806,27.5,200.4,2,13,8.09,6,0.83,6,18,12,5,0.0191,0.00173,5,0.0191,0.405,0.00011,0.003,0.02,0.0193,0.0005,0.011,0.009,0.0036,0.028,0.02,0.011,0.0072,0.0049,0.0043,0.396,0.004,0.0296,120,245,2024,choice_3,112.916980599998,-7.67872776999987
23,f4fba5ed-c0f2-4c31-8666-37848bf8597a,8/1/2024 6:37:37 AM,,8/1/2024 7:18:21 AM,portaladmindlh,,,,,GEMBONG_,Hulu,gembong hulu ds.tanggulangin selatan nestle kec.kejayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/30/2024 5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEJAYAN,TANGGULANGIN,,-7.70955555,112.8559167,272,187.6,3,14,7.59,5,0.83,7,14,12,4,0.00645,0.00027,4,0.00654,0.405,0.0002,0.002,0.02,0.0206,0.0002,0.004,0.007,0.0074,0.024,0.002,0.018,0.0098,0.0092,0.0049,0.401,0.012,0.0005,90,430,2024,choice_3,112.855916699998,-7.70955554999987
